"measure_code","measure_name","measure_type","denominator_criteria","numerator_criteria","exclusion_criteria","denominator_exception","description","active_ind","effective_start_date","effective_end_date"
"CMS22v12","BP Screening and Follow-Up Documentation","Process","Patients 18+ with an encounter during the measurement period (2024), excluding those with prior HTN diagnosis.","Patients meeting denominator criteria who had BP documented and appropriate follow-up based on BP category (Normal, Elevated, Hypertensive Stage 1/2).","Patients with prior HTN diagnosis (handled in denominator).","Patients who declined or had medical reason documented.","BP Screening and Follow-Up Documentation","Y","2024-01-01","2024-12-31"
"CMS50v12","Closing the Referral Loop: Receipt of Specialist Report","Process","Patients with an eligible encounter during the measurement period (2024-01-01 to 2024-12-31) who had a referral procedure (CPT 99241-99245) on or before 2024-10-31.","Patients in the denominator for whom a consultation note, referral note, or referral summary document (LOINC 11488-4, 34839-1, 68448-7) was observed after the referral date, linked to the referred specialist.","None explicitly defined.","","Closing the Referral Loop: Receipt of Specialist Report","Y","2024-01-01","2024-12-31"
"CMS56v12","Functional Status Assessment for Total Hip Replacement","Outcome","Patients 19+ who had a primary Total Hip Arthroplasty (THA) (CPT 27130) between Nov 1, 2023 and Oct 31, 2023, and had an outpatient encounter between Nov 1, 2023 and Dec 31, 2024.","Patients in the denominator who had a functional status assessment (using specific tools like HOOS, PROMIS10, VR12) within 90 days prior to or on the day of the THA surgery, AND another assessment using the same tool between 300 and 425 days after the surgery.","Patients with hospice care, severe cognitive impairment, specific lower body fractures near surgery date, partial hip or revision procedures on the same day, active malignant neoplasm, or a second THA within 1 year.","","Functional Status Assessment for Total Hip Replacement","Y","2024-01-01","2024-12-31"
"CMS68v13","Documentation of Current Medications","Process","Patients 18+ with an eligible encounter during the measurement period (2024-01-01 to 2024-12-31).","Patients in the denominator for whom there is documentation that the eligible clinician obtained, updated, or reviewed the patient's current medications on the date of the encounter (using specific SNOMED, CPT II, or HCPCS codes).","None explicitly defined (handled as exceptions).","Patients with documentation of a medical reason for not reviewing medications (using specific HCPCS or custom codes).","Documentation of Current Medications in the Medical Record","Y","2024-01-01","2024-12-31"
"CMS69v12","Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan","Process","Patients 18+ with an encounter during the measurement period (2024-01-01 to 2024-12-31).","Patients in the denominator who had their BMI documented during the measurement period AND, if BMI was outside normal parameters (18.5-24.9), had a documented follow-up plan (e.g., nutrition counseling, physical activity counseling, weight management plan) on or shortly after the BMI measurement date.","Patients who were pregnant or received palliative/hospice care during the measurement period.","Patients with medical or patient reasons documented for not measuring BMI or not providing follow-up.","Percentage of patients aged 18 years and older with a BMI documented during the measurement period or the previous six months, AND if BMI is outside normal parameters, a follow-up plan is documented.","Y","2024-01-01","2024-12-31"
"CMS74v13","Preventive Care and Screening: Topical Fluoride for Children","Process","Children aged 1-20 years who had a dental evaluation encounter with a dentist during the measurement period (2024-01-01 to 2024-12-31).","Patients in the denominator who received at least two fluoride varnish applications (CPT 99188) during the measurement period.","Patients receiving hospice care (ICD-10 Z51.5) during the measurement period.","","Percentage of children, aged 1 through 20 years, who received at least two topical fluoride applications during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS75v12","Children Who Have Dental Decay or Cavities","Outcome","Children aged 1-20 years who had a dental evaluation encounter with a dentist during the measurement period (2024-01-01 to 2024-12-31).","Patients in the denominator who had an active diagnosis of dental caries (ICD-10 K02.x) with an onset date during the measurement period.","Patients receiving hospice care (ICD-10 Z51.5) during the measurement period.","","Percentage of children, aged 1 through 20 years, who had a dental evaluation visit and had dental decay or cavities during the measurement period.","Y","2024-01-01","2024-12-31"
"CMS90v13","Functional Status Assessment for Heart Failure","Outcome","Patients 18+ with an active diagnosis of Heart Failure (specific ICD-10 codes) who had at least two encounters during the measurement period (2024-01-01 to 2024-12-31).","Patients in the denominator who had an initial functional status assessment (using specific tools like PROMIS, VR, MLHFQ, KCCQ) and a follow-up assessment using the same tool between 30 and 180 days after the initial assessment.","Patients receiving hospice care (ICD-10 Z51.5) or with severe cognitive impairment (specific ICD-10 F codes) during the measurement period.","","Percentage of patients aged 18 years and older with a diagnosis of heart failure who completed an initial functional status assessment and a follow-up functional status assessment using the same clinical tool within a specified timeframe.","Y","2024-01-01","2024-12-31"
"CMS117v12","Childhood Immunization Status","Process","Children who turn 2 years old during the measurement period (2025-01-01 to 2025-12-31).","Patients in the denominator who have received the recommended number of doses for specific vaccines (DTaP, IPV, MMR, HiB, HepB, VZV, PCV, HepA, Rotavirus, Influenza) by their 2nd birthday.","Patients with specific immunodeficiency, HIV, cancer, or intussusception diagnoses before their 2nd birthday.","","Percentage of children 2 years of age who had recommended immunizations.","Y","2025-01-01","2025-12-31"
"CMS122v12","Diabetes: Hemoglobin A1c Poor Control (>9%)","Outcome","Patients aged 18-75 years at the end of the measurement period (2025) with an active diagnosis of type 2 diabetes (ICD-10 E11.x) and at least one encounter during the period.","Patients in the denominator whose most recent HbA1c test (LOINC 4548-4) during the measurement period was > 9.0%.","Patients receiving hospice care (ICD-10 Z51.5), or patients aged 66+ residing in a nursing home or with specific advanced illness diagnoses (dementia, cancer).","","Percentage of patients 18-75 years of age with diabetes (type 2) who had hemoglobin A1c > 9.0% during the measurement period.","Y","2025-01-01","2025-12-31"
